Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
66,326,116,3,3.5,4,9.14,1,0.81
67,325,112,4,4,4,9,1,0.8
68,325,110,2,3,2.5,8.76,1,0.75
69,331,115,5,4,3.5,9.44,1,0.92
70,340,113,4,5,5,9.74,1,0.96
71,325,111,3,3,3.5,8.7,0,0.52
72,310,107,3,3.5,3.5,8.67,0,0.76
73,330,116,4,5,4.5,9.45,1,0.91
74,304,102,2,3,4,8.73,0,0.67
75,327,114,3,3,3,9.02,0,0.61
76,299,102,3,4,3.5,8.62,0,0.56
77,324,110,3,3.5,4,8.87,1,0.8
78,321,109,3,3,3,8.54,1,0.79
79,322,110,3,3,3.5,8,0,0.7
80,305,103,2,2.5,3.5,8.13,0,0.59
81,318,106,3,2,3,8.65,0,0.71
82,315,107,2,4,3,8.5,1,0.56
83,332,116,5,5,5,9.28,1,0.94
84,305,105,2,3,2,8.23,0,0.67
85,312,105,3,2,3,8.02,1,0.5
86,321,111,3,3.5,4,8.83,1,0.77
87,305,105,2,3,4,8.13,0,0.66
88,332,117,4,4.5,4,9.1,0,0.87
89,301,99,2,3,2,8.22,0,0.64
90,311,102,3,4.5,4,8.64,1,0.68
91,298,99,2,4,2,7.6,0,0.46
92,314,108,3,4.5,3.5,8.14,0,0.64
93,313,103,3,4,4,8.75,0,0.76
94,317,103,2,2.5,2,8.15,0,0.65
95,311,104,3,3.5,2,8.2,1,0.61
96,301,97,2,3,3,7.88,1,0.44
97,312,107,3,3,3,8.46,1,0.75
98,315,103,1,1.5,2,7.86,0,0.57
99,320,113,2,2,2.5,8.64,1,0.81
100,328,116,5,5,5,9.5,1,0.94
101,336,118,5,4.5,4,9.19,1,0.92
102,327,113,4,4.5,4.5,9.11,1,0.89
103,331,116,5,4,4,9.26,1,0.93
104,310,103,2,2.5,2.5,8.24,0,0.72
105,311,98,1,1,2.5,7.46,0,0.57
106,326,110,3,3.5,3.5,8.76,1,0.79
107,328,110,4,4,2.5,9.02,1,0.81
108,304,105,2,3,3,8.2,1,0.54
109,309,106,2,2.5,2.5,8,0,0.62
110,338,117,4,3.5,4.5,9.46,1,0.91
111,316,98,1,1.5,2,7.43,0,0.49
112,324,100,3,4,5,8.64,1,0.78
113,336,112,5,5,5,9.76,1,0.96
114,340,114,5,4,4,9.6,1,0.9
115,303,100,2,3,3.5,8.06,1,0.64
116,324,110,4,4.5,4,9.15,1,0.82
117,315,110,2,3.5,3,8.46,1,0.72
118,314,106,2,4,3.5,8.25,0,0.62
119,319,108,2,2.5,3,8.76,0,0.66
120,300,100,3,3,3.5,8.26,0,0.62
121,308,108,4,4.5,5,8.34,0,0.77
122,304,101,2,2,2.5,7.66,0,0.38
123,337,118,4,4.5,4.5,9.65,1,0.92
124,324,114,5,5,4.5,9.08,1,0.89
125,315,110,2,3.5,3,8.46,1,0.72
126,319,110,3,3.5,3.5,9.04,0,0.82
127,326,108,3,3,3.5,8.89,0,0.8
128,319,110,3,3,2.5,8.79,0,0.72
129,322,110,3,3.5,2.5,8.67,1,0.8
130,316,102,3,2,3,7.4,0,0.64
131,296,97,2,1.5,2,7.8,0,0.49
132,316,100,2,1.5,3,8.16,1,0.71
133,324,110,3,3.5,3.5,9.04,1,0.82
134,312,103,3,3.5,4,8.78,0,0.67
135,329,111,4,4.5,4.5,9.18,1,0.87
136,300,102,3,3.5,2.5,8.17,0,0.63
137,329,111,4,4.5,4,9.23,1,0.89
138,299,100,1,1.5,2,7.89,0,0.59
139,313,107,3,4,4.5,8.69,0,0.72
140,325,107,3,3,3.5,9.11,1,0.84
141,312,101,2,2.5,3.5,8.04,1,0.68
142,312,108,3,3.5,3,8.53,0,0.69
143,325,114,3,3.5,3,9.04,1,0.76
144,290,104,4,2,2.5,7.46,0,0.45
145,321,111,5,5,5,9.45,1,0.93
146,321,109,3,3.5,3.5,8.8,1,0.74
147,332,118,2,4.5,3.5,9.36,1,0.9
148,314,107,3,3,3.5,8.17,1,0.73
149,323,113,3,4,3,9.32,1,0.85
150,321,109,4,4,4,9.13,1,0.85
151,324,112,4,4,2.5,8.1,1,0.72
152,300,97,2,3,3,8.1,1,0.65
153,302,102,3,3.5,5,8.33,0,0.65
154,316,110,3,3.5,4,8.56,0,0.75
155,301,98,1,2,3,8.03,1,0.67
156,300,105,1,1,2,7.8,0,0.58
157,316,102,3,2,3,7.4,0,0.64
158,320,110,2,4,3.5,8.56,0,0.72
159,339,114,5,4,4.5,9.76,1,0.96
160,312,106,3,4,3.5,8.79,1,0.81
161,324,110,4,3,3.5,8.97,1,0.84
162,304,97,2,1.5,2,7.64,0,0.47
163,335,118,5,4.5,3.5,9.44,1,0.93
164,312,105,2,2.5,3,8.12,0,0.64
165,324,111,3,2.5,1.5,8.79,1,0.7
166,312,109,3,3,3,8.69,0,0.77
167,310,104,3,2,3.5,8.37,0,0.7
168,324,112,5,5,5,9.08,1,0.88
169,307,102,3,3,3,8.27,0,0.73
170,304,105,1,3,1.5,7.5,0,0.52
171,307,105,2,2,3.5,8.1,0,0.53
172,335,118,5,4.5,3.5,9.44,1,0.93
173,316,105,2,2.5,2.5,8.2,1,0.49
174,328,116,5,5,5,9.5,1,0.94
175,312,108,3,3.5,3,8.53,0,0.69
176,298,99,1,1.5,3,7.46,0,0.53
177,324,111,5,4.5,4,9.16,1,0.9
178,315,106,3,4.5,3.5,8.42,0,0.72
179,309,100,2,3,3,8.1,0,0.48
180,315,105,3,2,2.5,8.34,0,0.7
181,300,100,3,2,3,8.66,1,0.64
182,305,106,2,3,3,8.16,0,0.64
183,309,105,5,3.5,3.5,8.56,0,0.71
184,298,98,2,4,3,8.03,0,0.34
185,294,95,1,1.5,1.5,7.64,0,0.49
186,326,112,4,4,3.5,9.12,1,0.84
187,317,107,2,3.5,3,8.28,0,0.66
188,300,102,3,3.5,2.5,8.17,0,0.63
189,325,114,3,3.5,3,9.04,1,0.76
190,321,114,4,4,5,9.12,0,0.85
191,293,97,2,2,4,7.8,1,0.64
192,327,108,5,5,3.5,9.13,1,0.87
193,323,112,5,4,4.5,8.78,0,0.79
194,311,98,1,1,2.5,7.46,0,0.57
195,311,104,3,4.5,4.5,8.43,0,0.7
196,305,103,2,2.5,3.5,8.13,0,0.59
197,321,109,4,4,4,9.13,1,0.85
198,319,105,3,3,3.5,8.67,1,0.73
199,304,100,2,2.5,3.5,8.07,0,0.64
200,294,93,1,1.5,2,7.36,0,0.46
201,340,120,5,4.5,4.5,9.91,1,0.97
202,326,116,2,4.5,3,9.08,1,0.8
203,303,105,5,5,4.5,8.65,0,0.77
204,313,102,3,2.5,2.5,8.68,0,0.71
205,317,107,3,3.5,3,8.68,1,0.84
206,324,107,4,4,4.5,8.87,1,0.76
207,311,105,3,3.5,3,8.45,1,0.59
208,317,103,3,2.5,3,8.54,1,0.73
209,312,99,1,1,1.5,8.01,1,0.52
210,325,112,4,4,4,9,1,0.8
211,312,103,3,5,4,8.45,0,0.76
212,317,105,3,3.5,3,8.56,0,0.68
213,314,103,2,2,3,8.21,0,0.65
214,322,114,5,4.5,4,8.94,1,0.86
215,315,100,1,2,2.5,7.95,0,0.58
216,305,105,2,3,4,8.13,0,0.66
217,312,107,4,4.5,4,8.65,1,0.73
218,313,98,3,2.5,4.5,8.3,1,0.76
219,331,117,4,4.5,5,9.42,1,0.94
220,322,104,3,3.5,4,8.84,1,0.78
221,298,105,3,3.5,4,8.54,0,0.69
222,297,96,2,2.5,1.5,7.89,0,0.43
223,331,112,5,4,5,9.8,1,0.94
224,322,107,3,3.5,3.5,8.46,1,0.71
225,323,113,3,4,4,8.88,1,0.79
226,295,93,1,2,2,7.2,0,0.46
227,297,96,2,2.5,1.5,7.89,0,0.43
228,307,108,2,4,3.5,7.7,0,0.48
229,301,99,2,3,2,8.22,0,0.64
230,299,96,2,1.5,2,7.86,0,0.54
231,330,113,5,5,4,9.31,1,0.91
232,323,110,3,4,3.5,9.1,1,0.79
233,296,101,1,2.5,3,7.68,0,0.6
234,307,108,2,4,3.5,7.7,0,0.48
235,302,101,2,2.5,3.5,7.96,0,0.46
236,324,113,4,4.5,4,8.79,0,0.76
237,331,116,5,5,5,9.38,1,0.93
238,323,107,3,3.5,3.5,8.55,1,0.73
239,313,103,3,4,4,8.75,0,0.76
240,327,113,4,4.5,5,9.14,0,0.83
241,314,109,4,3.5,4,8.77,1,0.82
242,301,104,2,3.5,3.5,7.89,1,0.68
243,322,115,5,4,4.5,9.36,1,0.92
244,305,108,5,3,3,8.48,0,0.61
245,296,101,1,2.5,3,7.68,0,0.6
246,304,100,4,1.5,2.5,7.84,0,0.42
247,308,108,3,3.5,3.5,8.22,0,0.61
248,316,106,2,2.5,4,8.32,0,0.72
249,322,112,4,4.5,4.5,9.26,1,0.91
250,309,99,3,4,4,8.56,0,0.76
251,329,114,5,4,5,9.3,1,0.86
252,317,100,2,3,2.5,8.57,0,0.68
253,329,111,4,4.5,4,9.01,1,0.81
254,317,110,3,4,4.5,9.11,1,0.8
255,311,104,3,3.5,2,8.2,1,0.61
256,300,99,1,1,2.5,8.01,0,0.58
257,331,119,4,5,4.5,9.34,1,0.9
258,300,100,3,3,3.5,8.26,0,0.62
259,308,103,2,3,3.5,8.49,0,0.66
260,318,109,3,3.5,4,9.22,1,0.68
261,327,111,4,4,4.5,9,1,0.84
262,319,108,3,3,3.5,8.54,1,0.71
263,299,96,2,1.5,2,7.86,0,0.54
264,311,104,2,2.5,3.5,8.48,0,0.71
265,319,110,3,3,2.5,8.79,0,0.72
266,293,97,2,2,4,7.8,1,0.64
267,301,104,2,3.5,3.5,7.89,1,0.68
268,327,113,3,3.5,3,8.66,1,0.8
269,325,107,3,3,3.5,9.11,1,0.84
270,308,110,3,3.5,3,8,1,0.46
271,319,103,4,4.5,3.5,8.66,0,0.76
272,334,120,5,4,5,9.87,1,0.97
273,330,116,5,5,4.5,9.36,1,0.93
274,326,110,3,3.5,3.5,8.76,1,0.79
275,306,105,2,2.5,3,8.22,1,0.72
276,309,106,2,2.5,2.5,8,0,0.62
277,306,103,2,2.5,3,8.36,0,0.69
278,318,110,3,4,3,8.8,0,0.63
279,299,106,2,4,4,8.4,0,0.64
280,338,115,5,4.5,5,9.23,1,0.91
281,332,116,5,5,5,9.28,1,0.94
282,298,101,2,1.5,2,7.86,0,0.54
283,303,98,1,2,2.5,7.65,0,0.56
284,340,113,4,5,5,9.74,1,0.96
285,331,115,5,4.5,3.5,9.36,1,0.93
286,320,108,3,3.5,4,8.44,1,0.76
287,326,116,2,4.5,3,9.08,1,0.8
288,336,118,5,4.5,4,9.19,1,0.92
289,321,111,5,5,5,9.45,1,0.93
290,304,100,4,1.5,2.5,7.84,0,0.42
291,313,106,2,2.5,2,8.43,0,0.62
292,319,106,3,4,3,8,1,0.65
293,331,115,5,4,3.5,9.44,1,0.92
294,308,110,3,3.5,3,8,1,0.46
295,307,107,2,3,3.5,8.52,1,0.78
296,323,110,5,4,5,8.98,1,0.87
297,327,103,3,4,4,8.3,1,0.74
298,332,118,5,5,5,9.47,1,0.94
299,323,110,5,4,5,8.98,1,0.87
300,306,106,2,2,2.5,8.14,0,0.61
301,312,109,3,3,3,8.69,0,0.77
302,318,110,3,4,3,8.8,0,0.63
303,326,112,3,3.5,3,9.1,1,0.84
304,315,105,3,2,2.5,8.48,0,0.75
305,313,98,3,2.5,4.5,8.3,1,0.76
306,304,97,2,1.5,2,7.64,0,0.47
307,299,97,3,5,3.5,7.66,0,0.38
308,316,107,2,3.5,3.5,8.64,1,0.57
309,330,114,3,4.5,4.5,9.24,1,0.9
310,296,95,2,3,2,7.54,1,0.44
311,323,113,3,4,3,9.32,1,0.85
312,298,105,3,3.5,4,8.54,0,0.69
313,321,110,3,3.5,5,8.85,1,0.82
314,334,120,5,4,5,9.87,1,0.97
315,324,111,3,2.5,2,8.8,1,0.79
316,301,97,2,3,3,7.88,1,0.44
317,299,94,1,1,1,7.34,0,0.42
318,312,110,2,3.5,3,8.53,0,0.64
319,316,99,2,2.5,3,9,0,0.7
320,309,105,5,3.5,3.5,8.56,0,0.71
321,305,106,2,3,3,8.16,0,0.64
322,327,108,5,5,3.5,9.13,1,0.87
323,311,106,2,3.5,3,8.26,1,0.79
324,300,99,1,3,2,6.8,1,0.36
325,317,106,3,4,3.5,8.5,1,0.75
326,332,118,5,5,5,9.47,1,0.94
327,303,99,3,2,2.5,7.66,0,0.36
328,314,108,4,4.5,4,9.04,1,0.84
329,315,105,3,2,2.5,8.34,0,0.7
330,298,92,1,2,2,7.88,0,0.51
331,334,119,5,4.5,4.5,9.48,1,0.94
332,326,112,3,3.5,3,9.05,1,0.74
333,335,117,5,5,5,9.56,1,0.94
334,331,120,3,4,4,8.96,1,0.86
335,312,104,3,3.5,4,8.09,0,0.71
336,331,112,5,4,5,9.8,1,0.94
337,325,112,2,3,3.5,8.96,1,0.8
338,303,98,1,2,2.5,7.65,0,0.56
339,306,110,2,3.5,4,8.45,0,0.63
340,334,117,5,4,4.5,9.07,1,0.89
341,312,104,3,3.5,3.5,8.42,0,0.74
342,314,102,2,2,2.5,8.24,0,0.64
343,311,107,4,4.5,4.5,9,1,0.78
344,319,106,3,3.5,2.5,8.33,1,0.74
345,302,99,1,2,2,7.25,0,0.57
346,307,101,3,4,3,8.2,0,0.47
347,333,118,5,5,5,9.35,1,0.92
348,321,109,3,3,3,8.54,1,0.79
349,329,111,4,4.5,4,9.23,1,0.89
350,316,101,2,2.5,2,8.32,1,0.61
351,328,115,4,4.5,4,9.16,1,0.78
352,316,106,2,2.5,4,8.32,0,0.72
353,319,112,3,2.5,2,8.71,1,0.78
354,304,100,2,2.5,3.5,8.07,0,0.64
355,318,109,1,3.5,3.5,9.12,0,0.78
356,302,102,1,2,1.5,8,0,0.5
357,320,104,3,3,3.5,8.74,1,0.76
358,295,96,2,1.5,2,7.34,0,0.47
359,314,106,2,4,3.5,8.25,0,0.62
360,324,115,3,3.5,3,8.76,1,0.7
361,327,113,4,3.5,3,8.69,1,0.8
362,325,106,3,3.5,4,8.4,1,0.52
363,314,107,2,2.5,4,8.27,0,0.72
364,318,100,2,2.5,3.5,8.54,1,0.71
365,324,114,5,5,4.5,9.08,1,0.89
366,311,99,2,2.5,3,7.98,0,0.65
367,325,111,3,3,3.5,8.7,0,0.52
368,305,112,3,3,3.5,8.65,0,0.71
369,321,111,4,4,4,8.97,1,0.87
370,308,110,4,3.5,3,8.6,0,0.7
371,314,105,3,3.5,2.5,8.3,0,0.54
372,305,102,2,2,2.5,8.18,0,0.62
373,305,108,5,3,3,8.48,0,0.61
374,305,107,2,2.5,2.5,8.42,0,0.71
375,314,104,4,5,5,9.02,0,0.82
376,301,104,3,3.5,4,8.12,1,0.68
377,317,104,2,3,3,8.76,0,0.77
378,320,104,3,3.5,4.5,8.34,1,0.74
379,329,114,5,4.5,5,9.19,1,0.86
380,307,105,2,2.5,3,7.65,0,0.58
381,315,107,2,4,3,8.5,1,0.56
382,330,114,3,4.5,4.5,9.24,1,0.9
383,340,114,5,4,4,9.6,1,0.9
384,325,112,4,4,4.5,9.17,1,0.85
385,297,98,2,2.5,3,7.67,0,0.59
386,308,104,2,2.5,3,8.07,0,0.65
387,312,105,2,2.5,3,8.12,0,0.64
388,312,107,3,3,2,7.9,1,0.64
389,335,115,4,4.5,4.5,9.68,1,0.93
390,317,106,2,2,3.5,8.12,0,0.73
391,296,95,2,3,2,7.54,1,0.44
392,325,114,4,3,2,8.4,0,0.7
393,301,100,3,3.5,3,8.04,0,0.67
394,320,120,3,4,4.5,9.11,0,0.86
395,333,113,5,4,4,9.28,1,0.89
396,333,119,5,5,4.5,9.78,1,0.96
397,320,104,3,3.5,4.5,8.34,1,0.74
398,317,104,2,4.5,4,8.47,0,0.57
399,318,109,3,3,3,8.5,0,0.67
400,322,110,5,4.5,4,8.97,0,0.78
401,313,107,3,4,4.5,8.69,0,0.72
402,307,102,3,3,3,8.27,0,0.73
403,328,108,4,4.5,4,9.18,1,0.84
404,298,98,2,1.5,2.5,7.5,1,0.44
405,340,120,5,4.5,4.5,9.6,1,0.94
406,306,106,2,2,2.5,8.14,0,0.61
407,335,115,4,4.5,4.5,9.68,1,0.93
408,318,100,2,2.5,3.5,8.54,1,0.71
409,323,104,3,4,4,8.44,1,0.73
410,322,110,3,4,5,8.64,1,0.85
411,316,109,4,4.5,3.5,8.76,1,0.74
412,321,109,4,4,4,8.68,1,0.69
413,310,99,2,1.5,2,7.3,0,0.54
414,296,99,2,3,3.5,7.28,0,0.47
415,320,101,2,2.5,3,8.62,0,0.7
416,308,104,2,2.5,3,8.07,0,0.65
417,340,120,4,5,5,9.5,1,0.96
418,296,99,2,3,3.5,7.28,0,0.47
419,316,110,3,4,4.5,8.78,1,0.69
420,303,105,5,5,4.5,8.65,0,0.77
421,330,114,4,4.5,3,9.17,1,0.86
422,314,105,2,2.5,2,7.64,0,0.7
423,336,119,5,4,3.5,9.8,1,0.97
424,315,104,3,3,2.5,8.33,0,0.67
425,312,105,3,2,3,8.02,1,0.5
426,308,106,3,3,3,8.24,0,0.58
427,308,109,2,3,4,8.45,0,0.71
428,300,97,2,3,3,8.1,1,0.65
429,323,113,3,4,4,8.88,1,0.79
430,324,115,3,3.5,3,8.76,1,0.7
431,295,93,1,2,2,7.2,0,0.46
432,307,110,4,4,4.5,8.37,0,0.79
433,313,102,3,3.5,4,8.9,1,0.77
434,318,109,3,3.5,4,9.22,1,0.68
435,323,108,5,4,4,8.74,1,0.81
436,312,103,3,5,4,8.45,0,0.76
437,314,107,3,3,3.5,8.17,1,0.73
438,315,105,2,2,2.5,7.65,0,0.39
439,326,114,3,3,3,9.11,1,0.83
440,320,110,2,4,3.5,8.56,0,0.72
441,309,108,3,2.5,3,8.12,0,0.72
442,323,113,4,4,4.5,9.23,1,0.89
443,320,110,5,5,4.5,9.22,1,0.92
444,332,117,4,4.5,4,9.1,0,0.87
445,310,107,3,3.5,3.5,8.67,0,0.76
446,314,102,2,2,2.5,8.24,0,0.64
447,329,113,5,5,4.5,9.45,1,0.89
448,331,120,3,4,4,8.96,1,0.86
449,328,115,4,4.5,4,9.16,1,0.78
450,317,107,3,3.5,3,8.68,1,0.84
451,326,113,5,4.5,4,9.4,1,0.91
452,322,109,5,4.5,3.5,8.8,0,0.76
453,329,114,2,2,4,8.56,1,0.72
454,299,102,3,4,3.5,8.62,0,0.56
455,320,111,4,4.5,3.5,8.87,1,0.85
456,308,108,3,3.5,3.5,8.22,0,0.61
457,324,112,4,4,3.5,8.77,1,0.8
458,325,108,4,4.5,4,9.06,1,0.79
459,325,112,4,3.5,3.5,8.92,0,0.55
460,318,106,3,2,3,8.65,0,0.71
461,329,110,2,4,3,9.15,1,0.84
462,300,99,1,1,2.5,8.01,0,0.58
463,311,104,2,2,2,8.3,0,0.42
464,322,105,2,3,3,8.45,1,0.65
465,304,105,1,3,1.5,7.5,0,0.52
466,322,110,4,4,5,9.13,1,0.86
467,317,106,3,4,3.5,8.5,1,0.75
468,338,118,4,3,4.5,9.4,1,0.91
469,312,98,1,3.5,3,8.18,1,0.64
470,308,103,2,2.5,4,8.36,1,0.7
471,310,99,2,1.5,2,7.3,0,0.54
472,300,102,2,1.5,2,7.87,0,0.56
473,327,104,5,3,3.5,8.84,1,0.71
474,317,104,2,4.5,4,8.47,0,0.57
475,307,109,3,4,3,8,1,0.62
476,340,120,4,5,5,9.5,1,0.96
477,302,99,2,1,2,7.97,0,0.56
478,334,116,4,4,3,8,1,0.78
479,316,107,2,3.5,3.5,8.64,1,0.57
480,299,100,1,1.5,2,7.89,0,0.59
481,329,119,4,4.5,4.5,9.16,1,0.9
482,340,120,4,4.5,4,9.92,1,0.97
483,317,107,3,4,3,8.7,0,0.66
484,324,100,3,4,5,8.64,1,0.78
485,307,105,2,2.5,3,7.65,0,0.58
486,327,109,3,3.5,4,8.77,1,0.79
487,319,108,3,3,3.5,8.54,1,0.71
488,309,104,2,2,2.5,8.26,0,0.65
489,334,117,5,4,4.5,9.07,1,0.89
490,313,107,2,2.5,2,8.5,1,0.53
491,317,106,2,2,3.5,8.12,0,0.73
492,296,97,2,1.5,2,7.8,0,0.49
493,318,107,3,3,3.5,8.27,1,0.74
494,320,113,2,2,2.5,8.64,1,0.81
495,334,114,4,4,4,9.43,1,0.93
496,303,99,3,2,2.5,7.66,0,0.36
497,319,106,3,4,3,8,1,0.65
498,311,105,2,3,2,8.12,1,0.73
499,311,105,3,3.5,3,8.45,1,0.59
500,319,106,3,3.5,2.5,8.33,1,0.74
501,314,107,2,2.5,4,8.56,0,0.63
502,320,104,3,3,3.5,8.74,1,0.76
503,295,101,2,2.5,2,7.86,0,0.69
504,321,109,3,3.5,3.5,8.8,1,0.74
505,326,114,3,3,3,9.11,1,0.83
506,299,100,2,3,3.5,7.88,0,0.68
507,325,106,3,3.5,4,8.4,1,0.52
508,312,100,2,1.5,3.5,7.9,1,0.56
509,323,108,5,4,4,8.74,1,0.81
510,306,103,2,2.5,3,8.36,0,0.69
511,313,109,3,4,3.5,9,0,0.79
512,316,109,4,4.5,3.5,8.76,1,0.74
513,339,114,5,4,4.5,9.76,1,0.96
514,316,105,3,3,3.5,8.73,0,0.72
515,332,118,2,4.5,3.5,9.36,1,0.9
516,306,105,2,3,2.5,8.26,0,0.73
517,295,99,2,2.5,3,7.65,0,0.57
518,312,104,3,3.5,3.5,8.42,0,0.74
519,328,112,4,4,4.5,9.1,1,0.78
520,326,112,3,3.5,3,9.1,1,0.84
521,320,103,3,3,3,7.7,0,0.64
522,300,102,2,1.5,2,7.87,0,0.56
523,323,107,3,3.5,3.5,8.55,1,0.73
524,309,100,2,3,3,8.1,0,0.48
525,330,115,5,4.5,3,9.34,1,0.9
526,300,104,3,3.5,3,8.16,0,0.71
527,326,112,3,3.5,3,9.05,1,0.74
528,312,107,4,4.5,4,8.65,1,0.73
529,290,100,1,1.5,2,7.56,0,0.47
530,312,107,2,2.5,3.5,8.27,0,0.69
531,331,119,4,5,4.5,9.34,1,0.9
532,338,120,4,5,5,9.66,1,0.95
533,325,111,4,4,4.5,9.11,1,0.83
534,310,103,2,2.5,2.5,8.24,0,0.72
535,340,115,5,4.5,4.5,9.45,1,0.94
536,314,103,2,2,3,8.21,0,0.65
537,311,106,2,3.5,3,8.26,1,0.79
538,339,119,5,4.5,4,9.7,0,0.89
539,312,101,2,2.5,3.5,8.04,1,0.68
540,325,114,4,3,2,8.4,0,0.7
541,314,109,4,3.5,4,8.77,1,0.82
542,322,104,3,3.5,4,8.84,1,0.78
543,326,111,5,4.5,4,9.23,1,0.88
544,307,105,2,2,3.5,8.1,0,0.53
545,328,110,4,5,4,9.14,1,0.82
546,322,110,3,3.5,2.5,8.67,1,0.8
547,318,109,3,3,3,8.5,0,0.67
548,316,105,2,2.5,2.5,8.2,1,0.49
549,329,114,5,4.5,5,9.19,1,0.86
550,317,105,3,3.5,3,8.56,0,0.68
551,339,116,4,4,3.5,9.8,1,0.96
552,336,119,5,4,3.5,9.8,1,0.97
553,331,117,4,4.5,5,9.42,1,0.94
554,315,105,3,2,2.5,8.48,0,0.75
555,321,112,5,5,5,9.06,1,0.86
556,325,111,4,4,4.5,9.11,1,0.83
557,321,109,4,4,4,8.68,1,0.69
558,321,109,3,3,4,8.2,1,0.75
559,321,111,3,2.5,3,8.9,1,0.8
560,324,112,5,5,5,9.08,1,0.88
561,324,110,4,4.5,4,9.15,1,0.82
562,340,115,5,4.5,4.5,9.45,1,0.94
563,312,110,2,3.5,3,8.53,0,0.64
564,322,107,3,3.5,3.5,8.46,1,0.71
565,330,114,4,4.5,3,9.17,1,0.86
566,314,105,2,2.5,2,7.64,0,0.7
567,333,119,5,5,4.5,9.78,1,0.96
568,313,102,3,2,3,8.27,0,0.64
569,310,106,4,1.5,2.5,8.36,0,0.57
570,323,110,3,4,3.5,9.1,1,0.79
571,299,97,3,5,3.5,7.66,0,0.38
572,325,108,4,4.5,4,9.06,1,0.79
573,333,117,4,5,4,9.66,1,0.95
574,309,108,3,2.5,3,8.12,0,0.72
575,314,106,3,3,5,8.9,0,0.74
576,322,109,5,4.5,3.5,8.8,0,0.76
577,328,110,4,4,2.5,9.02,1,0.81
578,317,100,2,3,2.5,8.57,0,0.68
579,313,102,3,2.5,2.5,8.68,0,0.71
580,298,99,2,4,2,7.6,0,0.46
581,295,96,2,1.5,2,7.34,0,0.47
582,305,102,2,2,2.5,8.18,0,0.62
583,306,110,2,3.5,4,8.45,0,0.63
584,340,120,5,4.5,4.5,9.6,1,0.94
585,322,112,4,4.5,4.5,9.26,1,0.91
586,313,104,3,4,4.5,8.65,0,0.73
