Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
96,308,110,4,3.5,3,8.6,0,0.7
97,313,102,3,2,3,8.27,0,0.64
98,326,108,3,3,3.5,8.89,0,0.8
99,318,109,3,3,3,8.5,0,0.67
100,330,116,5,5,4.5,9.36,1,0.93
101,331,116,5,4,4,9.26,1,0.93
102,331,119,4,5,4.5,9.34,1,0.9
103,317,106,2,2,3.5,8.12,0,0.73
104,334,119,5,5,4.5,9.7,1,0.95
105,320,104,3,3,2.5,8.57,1,0.74
106,324,112,5,5,5,9.08,1,0.88
107,314,104,4,5,5,9.02,0,0.82
108,298,98,2,4,3,8.03,0,0.34
109,304,97,2,1.5,2,7.64,0,0.47
110,334,114,4,4,4,9.43,1,0.93
111,318,109,3,3,3,8.5,0,0.67
112,300,104,3,3.5,3,8.16,0,0.71
113,323,113,4,4,4.5,9.23,1,0.89
114,336,119,4,4.5,4,9.62,1,0.95
115,324,105,3,3,4,8.75,0,0.79
116,322,110,3,3.5,3,8.96,1,0.78
117,308,106,3,3,3,8.24,0,0.58
118,324,113,4,4.5,4,8.79,0,0.76
119,321,107,2,2,1.5,8.44,0,0.81
120,314,107,2,2.5,4,8.27,0,0.72
121,307,110,4,4,4.5,8.37,0,0.79
122,323,113,3,4,3,9.32,1,0.85
123,319,108,3,3,3.5,8.54,1,0.71
124,333,119,5,5,4.5,9.78,1,0.96
125,336,118,5,4.5,5,9.53,1,0.94
126,324,110,3,3.5,3,9.22,1,0.89
127,306,105,2,3,2.5,8.26,0,0.73
128,316,102,3,2,3,7.4,0,0.64
129,313,98,3,2.5,4.5,8.3,1,0.76
130,327,104,5,3,3.5,8.84,1,0.71
131,318,109,3,3.5,4,9.22,1,0.68
132,311,99,1,2.5,3,8.43,1,0.71
133,318,109,1,3.5,3.5,9.12,0,0.78
134,300,105,1,1,2,7.8,0,0.58
135,326,110,3,3.5,3.5,8.76,1,0.79
136,323,107,3,3.5,3.5,8.55,1,0.73
137,326,102,4,5,5,8.76,1,0.77
138,309,99,3,4,4,8.56,0,0.76
139,320,110,2,4,3.5,8.56,0,0.72
140,301,107,3,3.5,3.5,8.34,1,0.62
141,307,105,2,2.5,3,7.65,0,0.58
142,313,103,3,4,4,8.75,0,0.76
143,321,109,4,4,4,9.13,1,0.85
144,329,110,2,4,3,9.15,1,0.84
145,307,107,2,3,3.5,8.52,1,0.78
146,327,103,3,4,4,8.3,1,0.74
147,317,107,2,3.5,3,8.28,0,0.66
148,306,110,2,3.5,4,8.45,0,0.63
149,320,111,4,4.5,3.5,8.87,1,0.85
150,310,104,3,2,3.5,8.37,0,0.7
151,318,100,2,2.5,3.5,8.54,1,0.71
152,324,111,4,3,3,9.01,1,0.82
153,311,98,1,1,2.5,7.46,0,0.57
154,305,103,2,2.5,3.5,8.13,0,0.59
155,324,110,4,4.5,4,9.15,1,0.82
156,327,112,3,3,3,8.72,1,0.74
157,319,108,3,3,3.5,8.54,1,0.71
158,320,110,2,4,3.5,8.56,0,0.72
159,333,118,5,5,5,9.35,1,0.92
160,312,100,2,1.5,3.5,7.9,1,0.56
161,313,107,3,4,4.5,8.69,0,0.72
162,325,112,4,3.5,3.5,8.92,0,0.55
163,323,108,3,3.5,3,8.6,0,0.45
164,325,114,4,3,2,8.4,0,0.7
165,305,102,2,2,2.5,8.18,0,0.62
166,296,95,2,3,2,7.54,1,0.44
167,321,111,5,5,5,9.45,1,0.93
168,326,112,3,3.5,3,9.05,1,0.74
169,303,99,3,2,2.5,7.66,0,0.36
170,324,110,3,3.5,3.5,9.04,1,0.82
171,309,99,3,4,4,8.56,0,0.76
172,327,104,5,3,3.5,8.84,1,0.71
173,310,103,2,2.5,2.5,8.24,0,0.72
174,311,99,1,2.5,3,8.43,1,0.71
175,325,110,4,3.5,4,8.67,1,0.73
176,322,105,2,3,3,8.45,1,0.65
177,299,96,2,1.5,2,7.86,0,0.54
178,321,111,3,2.5,3,8.9,1,0.8
179,313,101,3,2.5,3,8.04,0,0.62
180,340,112,4,5,4.5,9.66,1,0.94
181,322,110,5,4.5,4,8.97,0,0.78
182,327,108,5,5,3.5,9.13,1,0.87
183,312,105,3,2,3,8.02,1,0.5
184,290,100,1,1.5,2,7.56,0,0.47
185,323,107,3,3.5,3.5,8.55,1,0.73
186,308,106,3,3.5,2.5,8.21,1,0.75
187,317,103,3,2.5,3,8.54,1,0.73
188,302,99,2,1,2,7.97,0,0.56
189,329,114,2,2,4,8.56,1,0.72
190,311,105,3,3.5,3,8.45,1,0.59
191,321,109,3,3,4,8.2,1,0.75
192,295,93,1,2,2,7.2,0,0.46
193,315,110,2,3.5,3,8.46,1,0.72
194,322,110,3,3,3.5,8,0,0.7
195,310,106,2,3.5,2.5,8.33,0,0.73
196,305,106,2,3,3,8.16,0,0.64
197,328,110,4,5,4,9.14,1,0.82
198,312,103,3,5,4,8.45,0,0.76
199,323,113,4,4,4.5,9.23,1,0.89
200,331,116,5,5,5,9.38,1,0.93
201,331,117,4,4.5,5,9.42,1,0.94
202,314,102,2,2,2.5,8.24,0,0.64
203,323,104,3,4,4,8.44,1,0.73
204,315,104,3,3,2.5,8.33,0,0.67
205,311,104,3,3.5,2,8.2,1,0.61
206,320,104,3,3,3.5,8.74,1,0.76
207,321,109,4,4,4,8.68,1,0.69
208,319,110,3,3.5,3.5,9.04,0,0.82
209,310,106,4,4.5,4.5,9.04,1,0.66
210,327,103,3,4,4,8.3,1,0.74
211,324,105,3,3,4,8.75,0,0.79
212,299,102,3,4,3.5,8.62,0,0.56
213,335,117,5,5,5,9.82,1,0.96
214,323,104,3,4,4,8.44,1,0.73
215,317,103,3,2.5,3,8.54,1,0.73
216,312,101,2,2.5,3.5,8.04,1,0.68
217,316,105,2,2.5,2.5,8.2,1,0.49
218,304,101,2,2,2.5,7.66,0,0.38
219,340,120,4,4.5,4,9.92,1,0.97
220,324,100,3,4,5,8.64,1,0.78
221,301,104,3,3.5,4,8.12,1,0.68
222,301,98,1,2,3,8.03,1,0.67
223,316,105,3,3,3.5,8.73,0,0.72
224,311,104,3,4.5,4.5,8.43,0,0.7
225,317,105,3,3.5,3,8.56,0,0.68
226,317,107,3,4,3,8.7,0,0.66
227,318,107,3,3,3.5,8.27,1,0.74
228,335,115,4,4.5,4.5,9.68,1,0.93
229,300,100,3,2,3,8.66,1,0.64
230,301,107,3,3.5,3.5,8.34,1,0.62
231,309,104,2,2,2.5,8.26,0,0.65
232,325,114,4,3,2,8.4,0,0.7
233,314,109,4,3.5,4,8.77,1,0.82
234,322,110,5,5,4,9.1,1,0.88
235,312,106,3,4,3.5,8.79,1,0.81
236,319,110,3,3.5,3.5,9.04,0,0.82
237,317,107,3,3.5,3,8.68,1,0.84
238,296,99,2,2.5,2.5,8.03,0,0.61
239,322,114,5,4.5,4,8.94,1,0.86
240,311,107,4,4.5,4.5,9,1,0.78
241,332,116,5,5,5,9.28,1,0.94
242,340,120,5,4.5,4.5,9.6,1,0.94
243,331,115,5,4.5,3.5,9.36,1,0.93
244,340,113,4,5,5,9.74,1,0.96
245,329,110,2,4,3,9.15,1,0.84
246,310,107,3,3.5,3.5,8.67,0,0.76
247,327,104,5,3,3.5,8.84,1,0.71
248,303,102,3,3.5,3,8.5,0,0.62
249,313,104,3,4,4.5,8.65,0,0.73
250,330,116,4,5,4.5,9.45,1,0.91
251,327,113,4,4.5,4.5,9.11,1,0.89
252,312,109,3,3,3,8.69,0,0.77
253,320,110,5,5,4.5,9.22,1,0.92
254,295,96,2,1.5,2,7.34,0,0.47
255,314,106,2,4,3.5,8.25,0,0.62
256,298,99,1,1.5,3,7.46,0,0.53
257,328,115,4,4.5,4,9.16,1,0.78
258,320,104,3,3,3.5,8.74,1,0.76
259,317,104,2,4.5,4,8.47,0,0.57
260,316,104,3,3,3.5,8,1,0.72
261,301,99,2,3,2,8.22,0,0.64
262,328,110,4,5,4,9.14,1,0.82
263,296,101,1,2.5,3,7.68,0,0.6
264,328,110,4,4,2.5,9.02,1,0.81
265,298,92,1,2,2,7.88,0,0.51
266,317,107,3,3.5,3,8.68,1,0.84
267,307,105,2,2,3.5,8.1,0,0.53
268,303,99,3,2,2.5,7.66,0,0.36
269,314,105,2,2.5,2,7.64,0,0.7
270,316,105,3,3,3.5,8.73,0,0.72
271,305,112,3,3,3.5,8.65,0,0.71
272,312,103,3,5,4,8.45,0,0.76
273,299,100,3,2,2,8.02,0,0.63
274,321,109,4,4,4,8.68,1,0.69
275,317,107,2,3.5,3,8.28,0,0.66
276,328,115,4,4.5,4,9.16,1,0.78
277,333,113,5,4,4,9.28,1,0.89
278,329,111,4,4.5,4,9.23,1,0.89
279,320,110,5,5,5,9.2,1,0.88
280,329,113,5,5,4.5,9.45,1,0.89
281,320,103,3,3,3,7.7,0,0.64
282,330,114,3,4.5,4.5,9.24,1,0.9
283,307,109,3,4,3,8,1,0.62
284,317,103,3,2.5,3,8.54,1,0.73
285,297,100,1,1.5,2,7.9,0,0.52
286,318,109,3,3.5,4,9.22,1,0.68
287,330,116,4,5,4.5,9.45,1,0.91
288,319,106,3,3.5,2.5,8.33,1,0.74
289,309,105,5,3.5,3.5,8.56,0,0.71
290,327,108,5,5,3.5,9.13,1,0.87
291,313,101,3,2.5,3,8.04,0,0.62
292,310,106,4,4.5,4.5,9.04,1,0.66
293,294,93,1,1.5,2,7.36,0,0.46
294,321,109,3,3,3,8.54,1,0.79
295,314,107,2,2.5,4,8.27,0,0.72
296,325,111,4,4,4.5,9.11,1,0.83
297,299,102,3,4,3.5,8.62,0,0.56
298,307,102,3,3,3,8.27,0,0.73
299,305,103,2,2.5,3.5,8.13,0,0.59
300,316,99,2,2.5,3,9,0,0.7
301,324,110,3,3.5,3.5,9.04,1,0.82
302,302,99,2,1,2,7.97,0,0.56
303,305,105,2,3,2,8.23,0,0.67
304,316,109,3,3.5,3,8.76,0,0.77
305,300,102,2,1.5,2,7.87,0,0.56
306,315,104,3,3,2.5,8.33,0,0.67
307,329,111,4,4.5,4,9.01,1,0.81
308,327,111,4,4,4.5,9,1,0.84
309,307,110,4,4,4.5,8.37,0,0.79
310,318,106,2,4,4,7.92,1,0.64
311,322,114,5,4.5,4,8.94,1,0.86
312,299,97,3,5,3.5,7.66,0,0.38
313,326,112,4,4,3.5,9.12,1,0.84
314,312,105,2,2.5,3,8.12,0,0.64
315,325,111,4,4,4.5,9.11,1,0.83
316,324,115,3,3.5,3,8.76,1,0.7
317,295,101,2,2.5,2,7.86,0,0.69
318,304,102,2,3,4,8.73,0,0.67
319,310,106,2,3.5,2.5,8.33,0,0.73
320,317,105,3,3.5,3,8.56,0,0.68
321,310,104,3,2,3.5,8.37,0,0.7
322,317,107,3,4,3,8.7,0,0.66
323,330,116,5,5,4.5,9.36,1,0.93
324,327,113,3,3.5,3,8.66,1,0.8
325,331,112,5,4,5,9.8,1,0.94
326,335,117,5,5,5,9.56,1,0.94
327,324,105,3,3,4,8.75,0,0.79
328,302,99,1,2,2,7.25,0,0.57
329,298,99,2,4,2,7.6,0,0.46
330,306,103,2,2.5,3,8.36,0,0.69
331,300,99,1,1,2.5,8.01,0,0.58
332,311,104,3,3.5,2,8.2,1,0.61
333,331,115,5,4.5,3.5,9.36,1,0.93
334,310,107,3,3.5,3.5,8.67,0,0.76
335,322,104,3,3.5,4,8.84,1,0.78
336,323,108,5,4,4,8.74,1,0.81
337,322,110,5,5,4,9.1,1,0.88
338,332,117,4,4.5,4,9.1,0,0.87
339,333,117,4,5,4,9.66,1,0.95
340,308,109,2,3,4,8.45,0,0.71
341,299,100,2,3,3.5,7.88,0,0.68
342,302,102,3,3.5,5,8.33,0,0.65
343,310,103,2,2.5,2.5,8.24,0,0.72
344,312,104,3,3.5,3.5,8.42,0,0.74
345,299,106,2,4,4,8.4,0,0.64
346,320,104,3,3,2.5,8.57,1,0.74
347,321,111,4,4,4,8.97,1,0.87
348,313,102,3,2.5,2.5,8.68,0,0.71
349,304,97,2,1.5,2,7.64,0,0.47
350,325,112,4,4,4.5,9.17,1,0.85
351,321,111,3,2.5,3,8.9,1,0.8
352,300,100,3,2,3,8.66,1,0.64
353,322,110,3,3,3.5,8,0,0.7
354,309,108,3,2.5,3,8.12,0,0.72
355,318,107,3,3,3.5,8.27,1,0.74
356,297,98,2,2.5,3,7.67,0,0.59
357,334,119,5,5,4.5,9.7,1,0.95
358,314,106,2,4,3.5,8.25,0,0.62
359,337,118,4,4.5,4.5,9.65,1,0.92
360,329,111,4,4.5,4.5,9.18,1,0.87
361,327,108,5,5,3.5,9.13,1,0.87
362,321,111,3,2.5,3,8.9,1,0.8
363,302,102,3,3.5,5,8.33,0,0.65
364,311,104,3,3.5,2,8.2,1,0.61
365,323,110,3,4,3.5,9.1,1,0.79
366,314,107,2,2.5,4,8.56,0,0.63
367,325,107,3,3,3.5,9.11,1,0.84
368,327,111,4,4,4.5,9,1,0.84
369,323,107,3,3.5,3.5,8.55,1,0.73
370,318,100,2,2.5,3.5,8.54,1,0.71
371,299,94,1,1,1,7.34,0,0.42
372,317,106,3,4,3.5,8.5,1,0.75
373,304,105,1,3,1.5,7.5,0,0.52
374,321,109,3,3,3,8.54,1,0.79
375,319,103,4,4.5,3.5,8.66,0,0.76
376,318,100,2,2.5,3.5,8.54,1,0.71
377,321,114,4,4,5,9.12,0,0.85
378,324,100,3,4,5,8.64,1,0.78
379,300,99,1,3,2,6.8,1,0.36
380,307,105,2,2.5,3,7.65,0,0.58
381,315,107,2,4,3,8.5,1,0.56
382,300,100,3,3,3.5,8.26,0,0.62
383,334,114,4,4,4,9.43,1,0.93
384,312,104,3,3.5,4,8.09,0,0.71
385,340,114,5,4,4,9.6,1,0.9
386,302,99,2,1,2,7.97,0,0.56
387,313,98,3,2.5,4.5,8.3,1,0.76
388,311,107,4,4.5,4.5,9,1,0.78
389,325,108,4,4.5,4,9.06,1,0.79
390,305,105,2,3,2,8.23,0,0.67
391,320,103,3,3,3,7.7,0,0.64
392,297,96,2,2.5,2,7.43,0,0.34
393,320,120,3,4,4.5,9.11,0,0.86
394,311,98,1,1,2.5,7.46,0,0.57
395,297,96,2,2.5,2,7.43,0,0.34
396,297,98,2,2.5,3,7.67,0,0.59
397,310,107,3,3.5,3.5,8.67,0,0.76
398,322,105,2,3,3,8.45,1,0.65
399,336,118,5,4.5,4,9.19,1,0.92
400,296,97,2,1.5,2,7.8,0,0.49
401,332,118,2,4.5,3.5,9.36,1,0.9
402,293,97,2,2,4,7.8,1,0.64
403,302,102,1,2,1.5,8,0,0.5
404,313,102,3,3.5,4,8.9,1,0.77
405,340,114,5,4,4,9.6,1,0.9
406,323,110,3,4,3.5,9.1,1,0.79
407,321,111,4,4,4,8.97,1,0.87
408,298,101,2,1.5,2,7.86,0,0.54
409,304,101,2,2,2.5,7.66,0,0.38
410,339,119,5,4.5,4,9.7,0,0.89
411,301,107,3,3.5,3.5,8.34,1,0.62
412,326,112,4,4,3.5,9.12,1,0.84
413,334,116,4,4,3.5,9.54,1,0.93
414,330,113,5,5,4,9.31,1,0.91
415,321,114,4,4,5,9.12,0,0.85
416,322,115,5,4,4.5,9.36,1,0.92
417,300,97,2,3,3,8.1,1,0.65
418,316,101,2,2.5,2,8.32,1,0.61
419,317,100,2,3,2.5,8.57,0,0.68
420,313,109,3,4,3.5,9,0,0.79
421,320,108,3,3.5,4,8.44,1,0.76
422,324,111,5,4.5,4,9.16,1,0.9
423,311,99,2,2.5,3,7.98,0,0.65
424,338,115,5,4.5,5,9.23,1,0.91
425,311,102,3,4.5,4,8.64,1,0.68
426,308,106,3,3,3,8.24,0,0.58
427,338,120,4,5,5,9.66,1,0.95
428,305,107,2,2.5,2.5,8.42,0,0.71
429,314,106,3,3,5,8.9,0,0.74
430,340,112,4,5,4.5,9.66,1,0.94
431,317,107,3,4,3,8.7,0,0.66
432,305,107,2,2.5,2.5,8.42,0,0.71
433,315,107,2,4,3,8.5,1,0.56
434,340,120,4,4.5,4,9.92,1,0.97
435,310,102,3,3.5,4,8.02,1,0.66
436,327,109,3,3.5,4,8.77,1,0.79
437,308,101,2,3,4,7.9,0,0.68
438,321,111,3,3.5,4,8.83,1,0.77
439,298,98,2,4,3,8.03,0,0.34
440,307,108,2,4,3.5,7.7,0,0.48
441,322,110,4,4,5,9.13,1,0.86
442,319,108,2,2.5,3,8.76,0,0.66
443,299,100,1,1.5,2,7.89,0,0.59
444,304,105,1,3,1.5,7.5,0,0.52
445,320,120,3,4,4.5,9.11,0,0.86
446,300,102,3,3.5,2.5,8.17,0,0.63
447,308,106,3,3.5,2.5,8.21,1,0.75
448,324,110,4,4.5,4,9.15,1,0.82
449,290,100,1,1.5,2,7.56,0,0.47
450,329,113,5,5,4.5,9.45,1,0.89
451,330,114,4,4.5,3,9.17,1,0.86
452,318,106,2,4,4,7.92,1,0.64
453,320,110,5,5,5,9.2,1,0.88
454,308,110,3,3.5,3,8,1,0.46
455,332,118,5,5,5,9.47,1,0.94
456,313,104,3,4,4.5,8.65,0,0.73
457,316,107,2,3.5,3.5,8.64,1,0.57
458,338,120,4,5,5,9.66,1,0.95
459,325,112,2,3,3.5,8.96,1,0.8
460,313,102,3,2,3,8.27,0,0.64
461,300,105,1,1,2,7.8,0,0.58
462,311,104,3,4.5,4.5,8.43,0,0.7
463,304,100,4,1.5,2.5,7.84,0,0.42
464,340,115,5,4.5,4.5,9.45,1,0.94
465,318,106,3,2,3,8.65,0,0.71
466,334,120,5,4,5,9.87,1,0.97
467,329,114,2,2,4,8.56,1,0.72
468,318,109,3,3.5,4,9.22,1,0.68
469,326,112,3,3.5,3,9.1,1,0.84
470,335,117,5,5,5,9.56,1,0.94
471,319,108,3,3,3.5,8.54,1,0.71
472,306,106,2,2,2.5,8.14,0,0.61
473,312,107,4,4.5,4,8.65,1,0.73
474,322,110,3,3.5,3,8.96,1,0.78
475,317,106,3,4,3.5,8.5,1,0.75
476,319,112,3,2.5,2,8.71,1,0.78
477,330,114,3,4.5,4.5,9.24,1,0.9
478,312,110,2,3.5,3,8.53,0,0.64
479,299,97,3,5,3.5,7.66,0,0.38
480,308,110,4,3.5,3,8.6,0,0.7
481,315,99,2,3.5,3,7.89,0,0.63
482,327,109,3,3.5,4,8.77,1,0.79
483,333,113,5,4,4,9.28,1,0.89
484,319,106,3,3.5,2.5,8.33,1,0.74
485,334,114,4,4,4,9.43,1,0.93
486,313,106,2,2.5,2,8.43,0,0.62
487,300,99,1,3,2,6.8,1,0.36
488,315,106,3,4.5,3.5,8.42,0,0.72
489,314,107,2,2.5,4,8.56,0,0.63
490,325,111,3,3,3.5,8.7,0,0.52
491,327,113,4,4.5,4.5,9.11,1,0.89
492,307,102,3,3,3,8.27,0,0.73
493,304,100,2,2.5,3.5,8.07,0,0.64
494,333,117,4,5,4,9.66,1,0.95
495,316,110,3,3.5,4,8.56,0,0.75
496,308,103,2,3,3.5,8.49,0,0.66
497,309,105,5,3.5,3.5,8.56,0,0.71
498,321,109,3,3,4,8.2,1,0.75
499,316,110,3,3.5,4,8.56,0,0.75
500,326,108,3,3,3.5,8.89,0,0.8
501,324,110,4,3,3.5,8.97,1,0.84
502,322,110,5,4.5,4,8.97,0,0.78
503,326,116,2,4.5,3,9.08,1,0.8
504,312,107,3,3,3,8.46,1,0.75
505,331,115,5,4,3.5,9.44,1,0.92
506,332,116,5,5,5,9.28,1,0.94
507,302,101,2,2.5,3.5,7.96,0,0.46
508,310,102,3,3.5,4,8.02,1,0.66
509,316,98,1,1.5,2,7.43,0,0.49
510,325,112,4,4,4,9,1,0.8
511,306,105,2,2.5,3,8.22,1,0.72
512,310,103,2,2.5,2.5,8.24,0,0.72
513,324,111,5,4.5,4,9.16,1,0.9
514,297,96,2,2.5,1.5,7.89,0,0.43
515,313,102,3,3.5,4,8.9,1,0.77
516,312,103,3,3.5,4,8.78,0,0.67
517,305,105,2,3,4,8.13,0,0.66
518,312,108,3,3.5,3,8.53,0,0.69
519,301,97,2,3,3,7.88,1,0.44
520,312,104,3,3.5,3.5,8.42,0,0.74
521,304,102,2,3,4,8.73,0,0.67
522,319,110,3,3.5,3.5,9.04,0,0.82
523,308,103,2,2.5,4,8.36,1,0.7
524,325,110,2,3,2.5,8.76,1,0.75
525,300,100,3,2,3,8.66,1,0.64
526,313,107,2,2.5,2,8.5,1,0.53
527,311,105,2,3,2,8.12,1,0.73
528,307,108,2,4,3.5,7.7,0,0.48
529,303,100,2,3,3.5,8.06,1,0.64
530,327,114,3,3,3,9.02,0,0.61
531,326,112,3,3.5,3,9.1,1,0.84
532,304,105,2,3,3,8.2,1,0.54
533,306,100,2,3,3,8,0,0.48
534,324,107,4,4,4.5,8.87,1,0.76
535,340,112,4,5,4.5,9.66,1,0.94
536,323,113,3,4,3,9.32,1,0.85
537,335,115,4,4.5,4.5,9.68,1,0.93
538,312,98,1,3.5,3,8.18,1,0.64
539,296,99,2,3,3.5,7.28,0,0.47
540,322,104,3,3.5,4,8.84,1,0.78
541,329,113,5,5,4.5,9.45,1,0.89
542,321,109,4,4,4,9.13,1,0.85
543,324,111,5,4.5,4,9.16,1,0.9
544,321,109,3,3,3,8.54,1,0.79
545,300,102,2,1.5,2,7.87,0,0.56
546,314,106,3,3,5,8.9,0,0.74
547,331,120,3,4,4,8.96,1,0.86
548,311,104,2,2,2,8.3,0,0.42
549,327,113,4,4.5,5,9.14,0,0.83
550,300,99,1,3,2,6.8,1,0.36
551,324,112,4,4,3.5,8.77,1,0.8
552,306,106,2,2,2.5,8.14,0,0.61
553,308,103,2,3,3.5,8.49,0,0.66
554,297,96,2,2.5,1.5,7.89,0,0.43
555,319,105,3,3,3.5,8.67,1,0.73
556,300,104,3,3.5,3,8.16,0,0.71
557,327,113,4,4.5,5,9.14,0,0.83
558,299,100,1,1.5,2,7.89,0,0.59
559,326,113,5,4.5,4,9.4,1,0.91
560,296,101,1,2.5,3,7.68,0,0.6
561,324,111,4,3,3,9.01,1,0.82
562,307,101,3,4,3,8.2,0,0.47
563,308,101,2,3,4,7.9,0,0.68
564,339,116,4,4,3.5,9.8,1,0.96
565,309,104,2,2,2.5,8.26,0,0.65
566,338,117,4,3.5,4.5,9.46,1,0.91
567,306,105,2,3,2.5,8.26,0,0.73
568,315,105,3,2,2.5,8.34,0,0.7
569,315,99,2,3.5,3,7.89,0,0.63
570,326,111,5,4.5,4,9.23,1,0.88
571,332,118,2,4.5,3.5,9.36,1,0.9
572,313,109,3,4,3.5,9,0,0.79
573,325,114,3,3.5,3,9.04,1,0.76
574,320,110,2,4,3.5,8.56,0,0.72
575,323,112,5,4,4.5,8.78,0,0.79
576,305,108,5,3,3,8.48,0,0.61
577,324,112,4,4,2.5,8.1,1,0.72
578,311,99,2,2.5,3,7.98,0,0.65
579,301,100,3,3.5,3,8.04,0,0.67
580,317,107,3,3.5,3,8.68,1,0.84
581,316,107,2,3.5,3.5,8.64,1,0.57
582,328,108,4,4.5,4,9.18,1,0.84
583,312,110,2,3.5,3,8.53,0,0.64
584,329,110,2,4,3,9.15,1,0.84
585,315,105,3,2,2.5,8.48,0,0.75
586,332,118,2,4.5,3.5,9.36,1,0.9
